individual_id	tissue_id	tissue_type	notes	correction_applied	correction_id	correction_details	correction_date
Sde-CTlk_001	Sde-C-0001-E-mus	muscle		FALSE			
Sde-CTlk_002	Sde-C-0002-E-mus	muscle		FALSE			
Sde-CTlk_003	Sde-C-0003-E-mus	muscle		FALSE			
Sde-CTlk_004	Sde-C-0004-E-mus	muscle		FALSE			
Sde-CTlk_005	Sde-C-0005-E-mus	muscle		FALSE			
Sde-CTlk_006	Sde-C-0006-E-mus	muscle		FALSE			
Sde-CTlk_007	Sde-C-0007-E-mus	muscle		FALSE			
Sde-CTlk_008	Sde-C-0008-E-mus	muscle		FALSE			
Sde-CTlk_009	Sde-C-0009-E-mus	muscle		FALSE			
Sde-CTlk_010	Sde-C-0010-E-mus	muscle		FALSE			
Sde-CTlk_011	Sde-C-0011-E-mus	muscle		FALSE			
Sde-CTlk_012	Sde-C-0012-E-mus	muscle		FALSE			
Sde-CTlk_013	Sde-C-0013-E-mus	muscle		FALSE			
Sde-CTlk_014	Sde-C-0014-E-mus	muscle		FALSE			
Sde-CTlk_015	Sde-C-0015-E-mus	muscle		FALSE			
Sde-CTlk_016	Sde-C-0016-E-mus	muscle		FALSE			
Sde-CTlk_017	Sde-C-0017-E-mus	muscle		FALSE			
Sde-CTlk_018	Sde-C-0018-E-mus	muscle		FALSE			
Sde-CTlk_019	Sde-C-0019-E-mus	muscle		FALSE			
Sde-CTlk_020	Sde-C-0020-E-mus	muscle		FALSE			
Sde-CTlk_021	Sde-C-0021-E-mus	muscle		FALSE			
Sde-CTlk_022	Sde-C-0022-E-mus	muscle		FALSE			
Sde-CTlk_023	Sde-C-0023-E-mus	muscle		FALSE			
Sde-CTlk_024	Sde-C-0024-E-mus	muscle		FALSE			
Sde-CTlk_025	Sde-C-0025-E-mus	muscle		FALSE			
Sde-CTlk_026	Sde-C-0026-E-mus	muscle		FALSE			
Sde-CTlk_027	Sde-C-0027-E-mus	muscle		FALSE			
Sde-CTlk_028	Sde-C-0028-E-mus	muscle		FALSE			
Sde-CTlk_029	Sde-C-0029-E-mus	muscle		FALSE			
Sde-CTlk_030	Sde-C-0030-E-mus	muscle		FALSE			
Sde-CTlk_031	Sde-C-0031-E-mus	muscle		FALSE			
Sde-CTlk_032	Sde-C-0032-E-mus	muscle		FALSE			
Sde-CTlk_033	Sde-C-0033-E-mus	muscle		FALSE			
Sde-CTlk_034	Sde-C-0034-E-mus	muscle		FALSE			
Sde-CTlk_035	Sde-C-0035-E-mus	muscle		FALSE			
Sde-CTlk_036	Sde-C-0036-E-mus	muscle		FALSE			
Sde-CTlk_037	Sde-C-0037-E-mus	muscle		FALSE			
Sde-CTlk_038	Sde-C-0038-E-mus	muscle		FALSE			
Sde-CTlk_039	Sde-C-0039-E-mus	muscle		FALSE			
Sde-CTlk_040	Sde-C-0040-E-mus	muscle		FALSE			
Sde-CTlk_041	Sde-C-0041-E-mus	muscle		FALSE			
Sde-CTlk_042	Sde-C-0042-E-mus	muscle		FALSE			
Sde-CTlk_043	Sde-C-0043-E-mus	muscle		FALSE			
Sde-CTlk_044	Sde-C-0044-E-mus	muscle		FALSE			
Sde-CTlk_045	Sde-C-0045-E-mus	muscle		FALSE			
Sde-CTlk_046	Sde-C-0046-E-mus	muscle		FALSE			
Sde-CTlk_047	Sde-C-0047-E-mus	muscle		FALSE			
Sde-CTlk_048	Sde-C-0048-E-mus	muscle		FALSE			
Sde-CTlk_049	Sde-C-0049-E-mus	muscle		FALSE			
Sde-CTlk_050	Sde-C-0050-E-mus	muscle		FALSE			
Sde-CTlk_051	Sde-C-0051-E-mus	muscle		FALSE			
Sde-CTlk_052	Sde-C-0052-E-mus	muscle		FALSE			
Sde-CTlk_053	Sde-C-0053-E-mus	muscle		FALSE			
Sde-CTlk_054	Sde-C-0054-E-mus	muscle		FALSE			
Sde-CTlk_055	Sde-C-0055-E-mus	muscle		FALSE			
Sde-CTlk_056	Sde-C-0056-E-mus	muscle		FALSE			
Sde-CTlk_057	Sde-C-0057-E-mus	muscle		FALSE			
Sde-CTlk_058	Sde-C-0058-E-mus	muscle		FALSE			
Sde-CTlk_059	Sde-C-0059-E-mus	muscle		FALSE			
Sde-CTlk_060	Sde-C-0060-E-mus	muscle		FALSE			
Sde-CTlk_061	Sde-C-0061-E-mus	muscle		FALSE			
Sde-CTlk_062	Sde-C-0062-E-mus	muscle		FALSE			
Sde-CTlk_063	Sde-C-0063-E-mus	muscle		FALSE			
Sde-CTlk_064	Sde-C-0064-E-mus	muscle		FALSE			
Sde-CTlk_065	Sde-C-0065-E-mus	muscle		FALSE			
Sde-CTlk_066	Sde-C-0066-E-mus	muscle		FALSE			
Sde-CTlk_067	Sde-C-0067-E-mus	muscle		FALSE			
Sde-CTlk_068	Sde-C-0068-E-mus	muscle		FALSE			
Sde-CTlk_069	Sde-C-0069-E-mus	muscle		FALSE			
Sde-CTlk_070	Sde-C-0070-E-mus	muscle		FALSE			
Sde-CTlk_071	Sde-C-0071-E-mus	muscle		FALSE			
Sde-CTlk_072	Sde-C-0072-E-mus	muscle		FALSE			
Sde-CTlk_073	Sde-C-0073-E-mus	muscle		FALSE			
Sde-CTlk_074	Sde-C-0074-E-mus	muscle		FALSE			
Sde-CTlk_075	Sde-C-0075-E-mus	muscle		FALSE			
Sde-CTlk_076	Sde-C-0076-E-mus	muscle		FALSE			
Sde-CTlk_077	Sde-C-0077-E-mus	muscle		FALSE			
Sde-CTlk_078	Sde-C-0078-E-mus	muscle		FALSE			
Sde-CTlk_079	Sde-C-0079-E-mus	muscle		FALSE			
Sde-CTlk_080	Sde-C-0080-E-mus	muscle		FALSE			
Sde-CTlk_081	Sde-C-0081-E-mus	muscle		FALSE			
Sde-CTlk_082	Sde-C-0082-E-mus	muscle		FALSE			
Sde-CTlk_083	Sde-C-0083-E-mus	muscle		FALSE			
Sde-CTlk_084	Sde-C-0084-E-mus	muscle		FALSE			
Sde-CTlk_085	Sde-C-0085-E-mus	muscle		FALSE			
Sde-CTlk_086	Sde-C-0086-E-mus	muscle		FALSE			
Sde-CTlk_087	Sde-C-0087-E-mus	muscle		FALSE			
Sde-CTlk_088	Sde-C-0088-E-mus	muscle		FALSE			
Sde-CTlk_089	Sde-C-0089-E-mus	muscle		FALSE			
Sde-CTlk_090	Sde-C-0090-E-mus	muscle		FALSE			
Sde-CTlk_091	Sde-C-0091-E-mus	muscle		FALSE			
Sde-CTlk_092	Sde-C-0092-E-mus	muscle		FALSE			
Sde-CTlk_093	Sde-C-0093-E-mus	muscle		FALSE			
Sde-CTlk_094	Sde-C-0094-E-mus	muscle		FALSE			
Sde-CTlk_095	Sde-C-0095-E-mus	muscle		FALSE			
Sde-CTlk_096	Sde-C-0096-E-mus	muscle		FALSE			
Sde-CTlk_097	Sde-C-0097-E-mus	muscle		FALSE			
Sde-CTlk_098	Sde-C-0098-E-mus	muscle		FALSE			
Sde-CTlk_099	Sde-C-0099-E-mus	muscle		FALSE			
Sde-CTlk_100	Sde-C-0100-E-mus	muscle		FALSE			
Sde-CMat_097	Sde-C-0101-E-mus	muscle		FALSE			
Sde-CMat_098	Sde-C-0102-E-mus	muscle		FALSE			
Sde-CMat_099	Sde-C-0103-E-mus	muscle		FALSE			
Sde-CMat_100	Sde-C-0104-E-mus	muscle		FALSE			
Sde-CMat_101	Sde-C-0105-E-mus	muscle		FALSE			
Sde-CMat_102	Sde-C-0106-E-mus	muscle		FALSE			
Sde-CMat_103	Sde-C-0107-E-mus	muscle		FALSE			
Sde-CMat_104	Sde-C-0108-E-mus	muscle		FALSE			
Sde-CMat_105	Sde-C-0109-E-mus	muscle		FALSE			
Sde-CMat_106	Sde-C-0110-E-mus	muscle		FALSE			
Sde-CMat_107	Sde-C-0111-E-mus	muscle		FALSE			
Sde-CMat_108	Sde-C-0112-E-mus	muscle		FALSE			
Sde-CMat_109	Sde-C-0113-E-mus	muscle		FALSE			
Sde-CMat_110	Sde-C-0114-E-mus	muscle		FALSE			
Sde-CMat_111	Sde-C-0115-E-mus	muscle		FALSE			
Sde-CMat_112	Sde-C-0116-E-mus	muscle		FALSE			
Sde-CMat_113	Sde-C-0117-E-mus	muscle		FALSE			
Sde-CMat_114	Sde-C-0118-E-mus	muscle		FALSE			
Sde-CMat_115	Sde-C-0119-E-mus	muscle		FALSE			
Sde-CMat_116	Sde-C-0120-E-mus	muscle		FALSE			
Sde-CMat_117	Sde-C-0121-E-mus	muscle		FALSE			
Sde-CMat_118	Sde-C-0122-E-mus	muscle		FALSE			
Sde-CMat_119	Sde-C-0123-E-mus	muscle		FALSE			
Sde-CMat_120	Sde-C-0124-E-mus	muscle		FALSE			
Sde-CMat_121	Sde-C-0125-E-mus	muscle		FALSE			
Sde-CMat_122	Sde-C-0126-E-mus	muscle		FALSE			
Sde-CMat_123	Sde-C-0127-E-mus	muscle		FALSE			
Sde-CMat_124	Sde-C-0128-E-mus	muscle		FALSE			
Sde-CMat_125	Sde-C-0129-E-mus	muscle		FALSE			
Sde-CMat_126	Sde-C-0130-E-mus	muscle		FALSE			
Sde-CMat_127	Sde-C-0131-E-mus	muscle		FALSE			
Sde-CMat_128	Sde-C-0132-E-mus	muscle		FALSE			
Sde-CMat_129	Sde-C-0133-E-mus	muscle		FALSE			
Sde-CMat_130	Sde-C-0134-E-mus	muscle		FALSE			
Sde-CMat_131	Sde-C-0135-E-mus	muscle		FALSE			
Sde-CMat_132	Sde-C-0136-E-mus	muscle		FALSE			
Sde-CMat_133	Sde-C-0137-E-mus	muscle		FALSE			
Sde-CMat_134	Sde-C-0138-E-mus	muscle		FALSE			
Sde-CMat_135	Sde-C-0139-E-mus	muscle		FALSE			
Sde-CMat_136	Sde-C-0140-E-mus	muscle		FALSE			
Sde-CMat_137	Sde-C-0141-E-mus	muscle		FALSE			
Sde-CMat_138	Sde-C-0142-E-mus	muscle		FALSE			
Sde-CMat_139	Sde-C-0143-E-mus	muscle		FALSE			
Sde-CMat_140	Sde-C-0144-E-mus	muscle		FALSE			
Sde-CMat_141	Sde-C-0145-E-mus	muscle		FALSE			
Sde-CMat_142	Sde-C-0146-E-mus	muscle		FALSE			
Sde-CMat_143	Sde-C-0147-E-mus	muscle		FALSE			
Sde-CMat_144	Sde-C-0148-E-mus	muscle		FALSE			
Sde-CMat_145	Sde-C-0149-E-mus	muscle		FALSE			
Sde-CMat_146	Sde-C-0150-E-mus	muscle		FALSE			
Sde-CMat_147	Sde-C-0151-E-mus	muscle		FALSE			
Sde-CMat_148	Sde-C-0152-E-mus	muscle		FALSE			
Sde-CMat_149	Sde-C-0153-E-mus	muscle		FALSE			
Sde-CMat_150	Sde-C-0154-E-mus	muscle		FALSE			
Sde-CMat_151	Sde-C-0155-E-mus	muscle		FALSE			
Sde-CMat_152	Sde-C-0156-E-mus	muscle		FALSE			
Sde-CMat_153	Sde-C-0157-E-mus	muscle		FALSE			
Sde-CMat_154	Sde-C-0158-E-mus	muscle		FALSE			
Sde-CMat_155	Sde-C-0159-E-mus	muscle		FALSE			
